Startzone,Endzone,Distanz (km),Zeit (h)
41.0,144.0,10.056297773714936,1.0056297773714937
41.0,148.0,10.043379895961332,1.004337989596133
41.0,151.0,1.4515571965076237,0.14515571965076238
41.0,152.0,1.5802344559027761,0.15802344559027762
41.0,153.0,8.835777565842285,0.8835777565842285
41.0,158.0,9.122916682437596,0.9122916682437596
41.0,161.0,5.519646436987289,0.5519646436987289
41.0,162.0,5.588912249743881,0.5588912249743881
41.0,163.0,4.92421531618043,0.492421531618043
41.0,164.0,6.868667815760675,0.6868667815760675
41.0,166.0,1.0632072196305165,0.10632072196305165
41.0,170.0,6.7153818162080485,0.6715381816208048
41.0,186.0,7.045937215098976,0.7045937215098976
41.0,194.0,2.7927491578593093,0.27927491578593094
41.0,202.0,4.746604296808836,0.47466042968088357
41.0,209.0,11.420550551393028,1.1420550551393027
