georeference,ada_notes,ada,south_direction_label,north_direction_label,gtfs_longitude,gtfs_latitude,structure,daytime_routes,borough,stop_name,line,division,gtfs_stop_id,complex_id,station_id
POINT (-73.807969 40.700486),,1,Manhattan,Jamaica Center,-73.807969,40.700486,Subway,E J Z,Q,Sutphin Blvd-Archer Av-JFK Airport,Queens - Archer,IND,G06,279,279
POINT (-73.985984 40.762456),Downtown & Brooklyn only,2,Downtown & Brooklyn,Uptown - Queens,-73.985984,40.762456,Subway,C E,M,50 St,8th Av - Fulton St,IND,A25,162,162
POINT (-73.963891 40.640927),,0,Brighton Beach & Coney Island,Manhattan,-73.963891,40.640927,Open Cut,Q,Bk,Cortelyou Rd,Broadway - Brighton,BMT,D30,46,46
POINT (-73.869229 40.733106),,0,Manhattan,Forest Hills,-73.869229,40.733106,Subway,M R,Q,Woodhaven Blvd,Queens Blvd,IND,G11,264,264
POINT (-73.941514 40.830518),,0,Downtown & Brooklyn,Uptown,-73.941514,40.830518,Subway,C,M,155 St,8th Av - Fulton St,IND,A11,150,150
POINT (-74.017881 40.641362),,1,Coney Island - Bay Ridge,Manhattan,-74.017881,40.641362,Subway,N R,Bk,59 St,4th Av,BMT,R41,35,35
POINT (-74.010006 40.648939),,0,Bay Ridge - 95 St,Manhattan,-74.010006,40.648939,Subway,R,Bk,45 St,4th Av,BMT,R39,33,33
POINT (-74.000495 40.732338),,1,Downtown & Brooklyn,Uptown - Queens,-74.000495,40.732338,Subway,A C E,M,W 4 St-Wash Sq,8th Av - Fulton St,IND,A32,167,167
POINT (-73.893064 40.824073),,1,Manhattan,Wakefield - Eastchester,-73.893064,40.824073,Elevated,2 5,Bx,Simpson St,Lenox - White Plains Rd,IRT,217,430,430
POINT (-73.868457 40.848828),,0,Manhattan,Wakefield - 241 St,-73.868457,40.848828,Elevated,2 5,Bx,Bronx Park East,Lenox - White Plains Rd,IRT,212,425,425
POINT (-74.009509 40.710368),,1,Downtown & Brooklyn,Uptown & The Bronx,-74.009509,40.710368,Subway,4 5,M,Fulton St,Lexington Av,IRT,418,628,412
POINT (-73.918822 40.864621),,0,Downtown,Uptown & The Bronx,-73.918822,40.864621,Elevated,1,M,207 St,Broadway - 7Av,IRT,108,298,298
POINT (-73.959874 40.77362),,0,Downtown,Uptown & The Bronx,-73.959874,40.77362,Subway,6,M,77 St,Lexington Av,IRT,627,398,398
POINT (-73.976218 40.788644),,0,Downtown,Uptown & The Bronx,-73.976218,40.788644,Subway,1,M,86 St,Broadway - 7Av,IRT,121,311,311
POINT (-73.788522 40.592374),,0,Far Rockaway,Manhattan,-73.788522,40.592374,Viaduct,A,Q,Beach 60 St,Rockaway,IND,H07,205,205
POINT (-73.828121 40.852462),,1,Manhattan,,-73.828121,40.852462,Elevated,6,Bx,Pelham Bay Park,Pelham,IRT,601,360,360
POINT (-73.882017 40.742454),,0,Manhattan,Forest Hills,-73.882017,40.742454,Subway,M R,Q,Elmhurst Av,Queens Blvd,IND,G13,266,266
POINT (-73.921479 40.766779),,0,Manhattan,Astoria - Ditmars Blvd,-73.921479,40.766779,Elevated,N W,Q,30 Av,Astoria,BMT,R04,3,3
POINT (-73.978172 40.636119),,0,Coney Island,Manhattan,-73.978172,40.636119,Elevated,F,Bk,Ditmas Av,6th Av - Culver,IND,F29,244,244
POINT (-74.007582 40.710374),,1,Broad St,Brooklyn,-74.007582,40.710374,Subway,J Z,M,Fulton St,Jamaica,BMT,M22,628,106
