total_seconds,cell_id
48060,84983
48060,141753
48060,142545
48060,86075
48060,139899
48060,142172
48060,141461
48060,140629
48060,139954
48060,56828
48060,100260
48060,142556
48060,141356
48060,83490
48060,141767
48060,141080
48060,84983
48060,86075
48060,88247
48060,27245
48060,73710
48060,141793
48060,142206
48060,141470
48060,141810
48060,141074
48060,75862
48060,61570
48060,141464
48060,56870
48060,142477
48060,141490
48060,142069
48060,84621
48060,84983
48060,142138
48060,141439
48060,100226
48060,25480
48060,142509
48060,89701
48060,142480
48060,94777
48060,141459
48060,140709
48060,84983
48060,114876
48060,142092
48060,72845
48060,142422
48060,142132
48060,142146
48060,51423
48060,94414
48060,142514
48060,81170
48060,76202
48060,81085
48060,142551
48060,141011
48060,142588
48060,100226
48060,73710
48060,142161
48060,25480
48060,142155
48060,73710
48060,139977
48060,89694
48060,141049
48060,79500
48060,94777
48060,141020
48060,142149
48060,86332
48060,142112
48060,141408
48060,56870
48060,25480
48060,141770
48060,141031
48060,88247
48060,141428
48060,139525
48060,142509
48060,140327
48060,39597
48120,55677
48120,103887
48120,140681
48120,142152
48120,141445
48120,142520
48120,140689
48120,27245
48120,141028
48120,142534
48120,141844
48120,42502
48120,141080
48120,84983
48120,141753
48120,142545
48120,86075
48120,139899
48120,142172
48120,141461
48120,140629
48120,139954
48120,56828
48120,100260
48120,142556
48120,141356
48120,83490
48120,141767
48120,141080
48120,84983
48120,86075
48120,88247
48120,27245
48120,73710
48120,141793
48120,142206
48120,141470
48120,141810
48120,141074
48120,75862
48120,61570
48120,141464
48120,56870
48120,142477
48120,141490
48120,142069
48120,84621
48120,84983
48120,142138
48120,141439
48120,100226
48120,25480
48120,142509
48120,89701
48120,142480
48120,94777
48120,141459
48120,140709
48120,84983
48120,114876
48120,142092
48120,72845
48120,142422
48120,142132
48120,142146
48120,51423
48120,94414
48120,142514
48120,81170
48120,76202
48120,81085
48120,142551
48120,141011
48120,142588
48120,100226
48120,73710
48120,142161
48120,25480
48120,142155
48120,73710
48120,139977
48120,89694
48120,141049
48120,79500
48120,94777
48120,141020
48120,142149
48120,86332
48120,142112
48120,141408
48120,56870
48120,25480
48120,141770
48120,141031
48120,88247
48120,141428
48120,139525
48120,142509
48120,140327
48120,39597
48180,55677
48180,103887
48180,140681
48180,142152
48180,141445
48180,142520
48180,140689
48180,27245
48180,141028
48180,142534
48180,141844
48180,42502
48180,141080
48180,84983
48180,141753
48180,142545
48180,86075
48180,139899
48180,142172
48180,141461
48180,140629
48180,139954
48180,56828
48180,100260
48180,142556
48180,141356
48180,83490
48180,141767
48180,141080
48180,84983
48180,86075
48180,88247
48180,27245
48180,73710
48180,141793
48180,142206
48180,141470
48180,141810
48180,141074
48180,75862
48180,61570
48180,141464
48180,56870
48180,142477
48180,141490
48180,142069
48180,84621
48180,84983
48180,142138
48180,141439
48180,100226
48180,25480
48180,142509
48180,89701
48180,142480
48180,94777
48180,141459
48180,140709
48180,84983
48180,114876
48180,142092
48180,72845
48180,142422
48180,142132
48180,142146
48180,51423
48180,94414
48180,142514
48180,81170
48180,76202
48180,81085
48180,142551
48180,141011
48180,142588
48180,100226
48180,73710
48180,142161
48180,25480
48180,142155
48180,73710
48180,139977
48180,89694
48180,141049
48180,79500
48180,94777
48180,141020
48180,142149
48180,86332
48180,142112
48180,141408
48180,56870
48180,25480
48180,141770
48180,141031
48180,88247
48180,141428
48180,139525
48180,142509
48180,140327
48180,39597
48240,55677
48240,103887
48240,140681
48240,142152
48240,141445
48240,142520
48240,140689
48240,27245
48240,141028
48240,142534
48240,141844
48240,42502
48240,141080
48240,84983
48240,141753
48240,142545
48240,86075
48240,139899
48240,142172
48240,141461
48240,140629
48240,139954
48240,56828
48240,100260
48240,142556
48240,141356
48240,83490
48240,141767
48240,141080
48240,84983
48240,86075
48240,88247
48240,27245
48240,73710
48240,141793
48240,142206
48240,141470
48240,141810
48240,141074
48240,75862
48240,61570
48240,141464
48240,56870
48240,142477
48240,141490
48240,142069
48240,84621
48240,84983
48240,142138
48240,141439
48240,100226
48240,25480
48240,142509
48240,89701
48240,142480
48240,94777
48240,141459
48240,140709
48240,84983
48240,114876
48240,142092
48240,72845
48240,142422
48240,142132
48240,142146
48240,51423
48240,94414
48240,142514
48240,81170
48240,76202
48240,81085
48240,142551
48240,141011
48240,142588
48240,100226
48240,73710
48240,142161
48240,25480
48240,142155
48240,73710
48240,139977
48240,89694
48240,141049
48240,79500
48240,94777
48240,141020
48240,142149
48240,86332
48240,142112
48240,141408
48240,56870
48240,25480
48240,141770
48240,141031
48240,88247
48240,141428
48240,139525
48240,142509
48240,140327
48240,39597
48300,55677
48300,103887
48300,140681
48300,142152
48300,141445
48300,142520
48300,140689
48300,27245
48300,141028
48300,142534
48300,141844
48300,42502
48300,141080
48300,84983
48300,141753
48300,142545
48300,86075
48300,139899
48300,142172
48300,141461
48300,140629
48300,139954
48300,56828
48300,100260
48300,142556
48300,141356
48300,83490
48300,141767
48300,141080
48300,84983
48300,86075
48300,88247
48300,27245
48300,73710
48300,141793
48300,142206
48300,141470
48300,141810
48300,141074
48300,75862
48300,61570
48300,141464
48300,56870
48300,142477
48300,141490
48300,142069
48300,84621
48300,84983
48300,142138
48300,141439
48300,100226
48300,25480
48300,142509
48300,89701
48300,142480
48300,94777
48300,141459
48300,140709
48300,84983
48300,114876
48300,142092
48300,72845
48300,142422
48300,142132
48300,142146
48300,51423
48300,94414
48300,142514
48300,81170
48300,76202
48300,81085
48300,142551
48300,141011
48300,142588
48300,100226
48300,73710
48300,142161
48300,25480
48300,142155
48300,73710
48300,139977
48300,89694
48300,141049
48300,79500
48300,94777
48300,141020
48300,142149
48300,86332
48300,142112
48300,141408
48300,56870
48300,25480
48300,141770
48300,141031
48300,88247
48300,141428
48300,139525
48300,142509
48300,140327
48300,39597
48360,55677
48360,103887
48360,140681
48360,142152
48360,141445
48360,142520
48360,140689
48360,27245
48360,141028
48360,142534
48360,141844
48360,42502
48360,141080
48360,84983
48360,141753
48360,142545
48360,86075
48360,139899
48360,142172
48360,141461
48360,140629
48360,139954
48360,56828
48360,100260
48360,142556
48360,141356
48360,83490
48360,141767
48360,141080
48360,84983
48360,86075
48360,88247
48360,27245
48360,73710
48360,141793
48360,142206
48360,141470
48360,141810
48360,141074
48360,75862
48360,61570
48360,141464
48360,56870
48360,142477
48360,141490
48360,142069
48360,84621
48360,84983
48360,142138
48360,141439
48360,100226
48360,25480
48360,142509
48360,89701
48360,142480
48360,94777
48360,141459
48360,140709
48360,84983
48360,114876
48360,142092
48360,72845
48360,142422
48360,142132
48360,142146
48360,51423
48360,94414
48360,142514
48360,81170
48360,76202
48360,81085
48360,142551
48360,141011
48360,142588
48360,100226
48360,73710
48360,142161
48360,25480
48360,142155
48360,73710
48360,139977
48360,89694
48360,141049
48360,79500
48360,94777
48360,141020
48360,142149
48360,86332
48360,142112
48360,141408
48360,56870
48360,25480
48360,141770
48360,141031
48360,88247
48360,141428
48360,139525
48360,142509
48360,140327
48360,39597
48420,55677
48420,103887
48420,140681
48420,142152
48420,141445
48420,142520
48420,140689
48420,27245
48420,141028
48420,142534
48420,141844
48420,42502
48420,141080
48420,84983
48420,141753
48420,142545
48420,86075
48420,139899
48420,142172
48420,141461
48420,140629
48420,139954
48420,56828
48420,100260
48420,142556
48420,141356
48420,83490
48420,141767
48420,141080
48420,84983
48420,86075
48420,88247
48420,27245
48420,73710
48420,141793
48420,142206
48420,141470
48420,141810
48420,141074
48420,75862
48420,61570
48420,141464
48420,56870
48420,142477
48420,141490
48420,142069
48420,84621
48420,84983
48420,142138
48420,141439
48420,100226
48420,25480
48420,142509
48420,89701
48420,142480
48420,94777
48420,141459
48420,140709
48420,84983
48420,114876
48420,142092
48420,72845
48420,142422
48420,142132
48420,142146
48420,51423
48420,94414
48420,142514
48420,81170
48420,76202
48420,81085
48420,142551
48420,141011
48420,142588
48420,100226
48420,73710
48420,142161
48420,25480
48420,142155
48420,73710
48420,139977
48420,89694
48420,141049
48420,79500
48420,94777
48420,141020
48420,142149
48420,86332
48420,142112
48420,141408
48420,56870
48420,25480
48420,141770
48420,141031
48420,88247
48420,141428
48420,139525
48420,142509
48420,140327
48420,39597
48480,55677
48480,103887
48480,140681
48480,142152
48480,141445
48480,142520
48480,140689
48480,27245
48480,141028
48480,142534
48480,141844
48480,42502
48480,141080
48480,84983
48480,141753
48480,142545
48480,86075
48480,139899
48480,142172
48480,141461
48480,140629
48480,139954
48480,56828
48480,100260
48480,142556
48480,141356
48480,83490
48480,141767
48480,141080
48480,84983
48480,86075
48480,88247
48480,27245
48480,73710
48480,141793
48480,142206
48480,141470
48480,141810
48480,141074
48480,75862
48480,61570
48480,141464
48480,56870
48480,142477
48480,141490
48480,142069
48480,84621
48480,84983
48480,142138
48480,141439
48480,100226
48480,25480
48480,142509
48480,89701
48480,142480
48480,94777
48480,141459
48480,140709
48480,84983
48480,114876
48480,142092
48480,72845
48480,142422
48480,142132
48480,142146
48480,51423
48480,94414
48480,142514
48480,81170
48480,76202
48480,81085
48480,142551
48480,141011
48480,142588
48480,100226
48480,73710
48480,142161
48480,25480
48480,142155
48480,73710
48480,139977
48480,89694
48480,141049
48480,79500
48480,94777
48480,141020
48480,142149
48480,86332
48480,142112
48480,141408
48480,56870
48480,25480
48480,141770
48480,141031
48480,88247
48480,141428
48480,139525
48480,142509
48480,140327
48480,39597
48540,55677
48540,103887
48540,140681
48540,142152
48540,141445
48540,142520
48540,140689
48540,27245
48540,141028
48540,142534
48540,141844
48540,42502
48540,141080
48540,84983
48540,141753
48540,142545
48540,86075
48540,139899
48540,142172
48540,141461
48540,140629
48540,139954
48540,56828
48540,100260
48540,142556
48540,141356
48540,83490
48540,141767
48540,141080
48540,84983
48540,86075
48540,88247
48540,27245
48540,73710
48540,141793
48540,142206
48540,141470
48540,141810
48540,141074
48540,75862
48540,61570
